Temperature,Humidity,Rainfall,Season,SoilType,IrrigationType,LandArea,Region,Crop
25.8,63.0,881.6,Kharif,Sandy Soil,Sprinkler,2.89,Konkan,Groundnut
18.2,56.4,397.9,Rabi,Black Soil,Flood,2.36,Western Maharashtra,Wheat
27.5,73.5,1869.2,Kharif,Alluvial Soil,Flood,4.77,Konkan,Rice
22.6,54.5,305.2,Rabi,Black Soil,Flood,4.09,Western Maharashtra,Wheat
23.0,56.8,462.6,Rabi,Red Soil,Rain-fed,2.25,Western Maharashtra,Chickpea
26.6,64.1,866.1,Kharif,Red Soil,Rain-fed,3.99,Vidarbha,Soybean
32.4,64.0,561.5,Kharif,Red Soil,Rain-fed,1.16,Western Maharashtra,Groundnut
22.0,53.1,407.0,Rabi,Black Soil,Rain-fed,4.59,Vidarbha,Chickpea
23.0,56.2,330.5,Rabi,Black Soil,Flood,2.02,Western Maharashtra,Wheat
25.5,43.6,440.4,Rabi,Red Soil,Rain-fed,3.72,Western Maharashtra,Chickpea
25.4,50.7,437.2,Rabi,Black Soil,Rain-fed,1.68,Western Maharashtra,Chickpea
29.6,84.8,732.8,Annual,Alluvial Soil,Drip,2.96,Western Maharashtra,Sugarcane
33.1,67.1,590.7,Kharif,Red Soil,Sprinkler,0.53,Western Maharashtra,Groundnut
30.5,64.2,788.2,Kharif,Black Soil,Rain-fed,3.41,Marathwada,Tur (Pigeon pea)
31.2,76.1,969.4,Kharif,Laterite Soil,Rain-fed,2.31,Konkan,Rice
29.8,73.4,899.5,Kharif,Red Soil,Rain-fed,4.7,Vidarbha,Soybean
23.6,71.7,826.4,Kharif,Red Soil,Rain-fed,1.34,Marathwada,Soybean
26.7,72.7,982.0,Kharif,Red Soil,Rain-fed,4.93,Marathwada,Soybean
32.1,49.2,583.1,Kharif,Red Soil,Rain-fed,3.88,Marathwada,Bajra
31.6,44.3,537.7,Kharif,Sandy Soil,Rain-fed,2.37,Marathwada,Bajra
27.9,58.5,735.5,Rabi,Red Soil,Rain-fed,1.14,Western Maharashtra,Jowar
27.2,62.5,698.1,Kharif,Sandy Soil,Rain-fed,2.22,Konkan,Groundnut
24.6,50.8,373.7,Rabi,Black Soil,Flood,3.11,Western Maharashtra,Wheat
30.4,56.2,775.3,Kharif,Black Soil,Rain-fed,1.34,Vidarbha,Tur (Pigeon pea)
34.7,56.8,842.6,Kharif,Black Soil,Drip,3.63,Vidarbha,Cotton
31.4,59.7,678.3,Kharif,Black Soil,Rain-fed,3.93,Vidarbha,Tur (Pigeon pea)
25.1,74.4,767.5,Kharif,Red Soil,Rain-fed,0.55,Vidarbha,Soybean
26.3,56.0,582.4,Kharif,Red Soil,Rain-fed,2.71,Marathwada,Bajra
33.5,65.9,867.1,Kharif,Black Soil,Rain-fed,2.71,Vidarbha,Cotton
34.1,42.8,446.9,Kharif,Sandy Soil,Rain-fed,3.96,Marathwada,Bajra
19.5,63.2,390.5,Rabi,Black Soil,Flood,3.47,Western Maharashtra,Wheat
25.0,73.5,1175.0,Kharif,Alluvial Soil,Flood,4.85,Konkan,Rice
28.1,51.9,437.1,Kharif,Sandy Soil,Rain-fed,1.58,Marathwada,Bajra
20.1,43.4,412.2,Rabi,Black Soil,Rain-fed,1.68,Western Maharashtra,Chickpea
31.0,69.7,628.1,Kharif,Sandy Soil,Sprinkler,2.4,Western Maharashtra,Groundnut
35.7,65.8,981.0,Annual,Black Soil,Flood,3.82,Western Maharashtra,Sugarcane
22.7,73.5,1303.4,Kharif,Alluvial Soil,Rain-fed,0.74,Konkan,Rice
32.0,61.9,792.7,Kharif,Red Soil,Rain-fed,1.25,Marathwada,Tur (Pigeon pea)
27.6,56.8,580.2,Rabi,Red Soil,Rain-fed,1.83,Marathwada,Jowar
26.8,46.8,593.8,Rabi,Black Soil,Rain-fed,2.1,Marathwada,Jowar
26.8,45.1,439.5,Rabi,Black Soil,Rain-fed,1.81,Western Maharashtra,Chickpea
34.4,70.4,809.8,Annual,Alluvial Soil,Drip,4.61,Western Maharashtra,Sugarcane
28.4,42.2,420.2,Kharif,Red Soil,Rain-fed,4.12,Marathwada,Bajra
33.4,64.7,850.8,Kharif,Black Soil,Rain-fed,1.38,Marathwada,Cotton
24.2,50.4,354.5,Rabi,Alluvial Soil,Flood,0.72,Western Maharashtra,Wheat
36.1,67.8,1186.8,Annual,Black Soil,Drip,1.02,Western Maharashtra,Sugarcane
36.1,83.7,981.7,Annual,Black Soil,Drip,2.01,Western Maharashtra,Sugarcane
23.6,72.3,900.8,Kharif,Red Soil,Rain-fed,0.71,Vidarbha,Soybean
28.8,61.3,999.5,Kharif,Sandy Soil,Sprinkler,0.73,Western Maharashtra,Groundnut
29.5,46.7,699.3,Kharif,Red Soil,Rain-fed,4.45,Vidarbha,Tur (Pigeon pea)
34.5,81.5,818.7,Annual,Alluvial Soil,Drip,2.07,Western Maharashtra,Sugarcane
23.9,47.3,404.6,Rabi,Black Soil,Rain-fed,2.74,Western Maharashtra,Chickpea
25.8,57.8,654.9,Rabi,Red Soil,Rain-fed,0.92,Western Maharashtra,Jowar
26.3,80.3,982.8,Annual,Alluvial Soil,Drip,1.28,Western Maharashtra,Sugarcane
33.5,58.1,714.7,Kharif,Black Soil,Drip,4.22,Marathwada,Cotton
23.2,61.0,644.0,Kharif,Red Soil,Rain-fed,0.74,Marathwada,Tur (Pigeon pea)
31.7,66.8,540.0,Kharif,Sandy Soil,Rain-fed,2.54,Konkan,Groundnut
28.6,72.4,961.3,Kharif,Alluvial Soil,Rain-fed,2.32,Konkan,Rice
31.3,62.7,793.3,Kharif,Black Soil,Rain-fed,3.31,Vidarbha,Tur (Pigeon pea)
29.0,46.9,602.1,Rabi,Black Soil,Rain-fed,0.59,Western Maharashtra,Jowar
31.9,46.6,415.8,Rabi,Black Soil,Rain-fed,2.01,Western Maharashtra,Jowar
37.1,70.0,910.2,Annual,Black Soil,Drip,2.75,Western Maharashtra,Sugarcane
27.2,58.7,742.5,Kharif,Red Soil,Sprinkler,2.91,Konkan,Groundnut
28.4,50.2,735.8,Kharif,Red Soil,Rain-fed,3.52,Marathwada,Tur (Pigeon pea)
32.7,67.6,673.1,Kharif,Black Soil,Rain-fed,1.56,Marathwada,Cotton
16.7,58.7,458.3,Rabi,Black Soil,Flood,2.28,Western Maharashtra,Wheat
25.4,66.8,674.3,Kharif,Black Soil,Drip,3.68,Marathwada,Cotton
30.0,63.9,965.0,Kharif,Black Soil,Rain-fed,3.05,Vidarbha,Soybean
26.4,63.4,641.6,Kharif,Sandy Soil,Sprinkler,0.58,Western Maharashtra,Groundnut
25.8,59.0,446.3,Rabi,Red Soil,Rain-fed,1.62,Vidarbha,Chickpea
28.9,46.1,427.2,Kharif,Red Soil,Rain-fed,4.85,Marathwada,Bajra
22.4,49.8,418.7,Rabi,Red Soil,Rain-fed,4.15,Western Maharashtra,Chickpea
31.2,55.7,722.7,Rabi,Black Soil,Rain-fed,4.73,Marathwada,Jowar
30.0,70.2,712.4,Annual,Black Soil,Drip,0.91,Western Maharashtra,Sugarcane
26.8,64.1,623.3,Kharif,Red Soil,Sprinkler,2.62,Konkan,Groundnut
25.9,74.3,770.6,Kharif,Red Soil,Rain-fed,2.69,Vidarbha,Soybean
20.6,63.1,461.3,Rabi,Black Soil,Flood,2.45,Western Maharashtra,Wheat
25.4,46.0,414.5,Rabi,Black Soil,Rain-fed,2.31,Vidarbha,Chickpea
36.5,65.0,763.7,Annual,Black Soil,Flood,3.88,Western Maharashtra,Sugarcane
22.8,53.2,410.4,Rabi,Red Soil,Rain-fed,2.56,Vidarbha,Chickpea
29.4,70.4,1094.1,Kharif,Alluvial Soil,Rain-fed,2.47,Konkan,Rice
27.6,70.7,806.1,Kharif,Black Soil,Rain-fed,1.39,Marathwada,Soybean
21.0,55.0,467.9,Rabi,Black Soil,Flood,1.62,Western Maharashtra,Wheat
27.3,50.8,744.4,Kharif,Black Soil,Rain-fed,2.72,Marathwada,Tur (Pigeon pea)
22.8,74.1,979.5,Kharif,Red Soil,Rain-fed,2.16,Marathwada,Soybean
27.3,45.4,592.4,Kharif,Sandy Soil,Rain-fed,4.87,Marathwada,Bajra
19.4,61.1,353.0,Rabi,Alluvial Soil,Flood,4.25,Western Maharashtra,Wheat
26.8,55.1,706.1,Kharif,Black Soil,Rain-fed,3.33,Marathwada,Tur (Pigeon pea)
26.4,55.5,418.0,Kharif,Red Soil,Rain-fed,0.65,Marathwada,Bajra
21.6,47.3,414.5,Rabi,Black Soil,Rain-fed,2.72,Vidarbha,Chickpea
22.2,53.1,433.6,Rabi,Black Soil,Rain-fed,1.61,Vidarbha,Chickpea
27.4,40.6,495.6,Rabi,Red Soil,Rain-fed,3.97,Western Maharashtra,Chickpea
26.8,62.1,627.1,Kharif,Red Soil,Rain-fed,1.9,Konkan,Groundnut
28.9,53.5,584.7,Rabi,Red Soil,Rain-fed,2.44,Western Maharashtra,Jowar
20.4,65.6,873.7,Kharif,Red Soil,Rain-fed,1.05,Vidarbha,Soybean
33.5,73.9,980.7,Annual,Alluvial Soil,Drip,1.96,Western Maharashtra,Sugarcane
29.0,51.1,311.4,Kharif,Red Soil,Rain-fed,4.92,Marathwada,Bajra
30.1,55.6,790.6,Kharif,Red Soil,Rain-fed,0.9,Marathwada,Tur (Pigeon pea)
33.0,66.9,919.8,Kharif,Red Soil,Rain-fed,1.98,Western Maharashtra,Groundnut
16.4,60.9,464.3,Rabi,Black Soil,Flood,1.33,Western Maharashtra,Wheat
23.6,44.0,438.0,Rabi,Black Soil,Rain-fed,2.22,Western Maharashtra,Chickpea
21.9,58.4,478.7,Rabi,Black Soil,Flood,1.21,Western Maharashtra,Wheat
24.1,55.5,782.8,Kharif,Sandy Soil,Rain-fed,1.53,Western Maharashtra,Groundnut
24.4,67.5,883.5,Kharif,Red Soil,Rain-fed,1.76,Western Maharashtra,Groundnut
23.6,42.1,482.1,Rabi,Red Soil,Rain-fed,4.33,Vidarbha,Chickpea
